"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Sales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Food services and drinking places [722]","Total sales","Dollars","81","millions","6","v120586586","1.1.1","61983.9","","","","1"
"2016","Canada","2016A000011124","Food services and drinking places [722]","E-commerce sales","Dollars","81","millions","6","v120586587","1.1.2","1170.7","","","","1"
"2016","Canada","2016A000011124","Food services and drinking places [722]","E-commerce as a percentage of total sales","Percent","239","units","0","v120586588","1.1.3","1.9","","","","1"
"2016","Canada","2016A000011124","Full-service restaurants [722511]","Total sales","Dollars","81","millions","6","v1073543749","1.2.1","27678.5","","","","1"
"2016","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce sales","Dollars","81","millions","6","v1073543751","1.2.2","571.5","","","","1"
"2016","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543753","1.2.3","2.1","","","","1"
"2016","Canada","2016A000011124","Limited-service eating places [722512]","Total sales","Dollars","81","millions","6","v1073543750","1.3.1","26492.2","","","","1"
"2016","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce sales","Dollars","81","millions","6","v1073543752","1.3.2","515.9","","","","1"
"2016","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543754","1.3.3","1.9","","","","1"
"2017","Canada","2016A000011124","Food services and drinking places [722]","Total sales","Dollars","81","millions","6","v120586586","1.1.1","65425.4","","","","1"
"2017","Canada","2016A000011124","Food services and drinking places [722]","E-commerce sales","Dollars","81","millions","6","v120586587","1.1.2","1975.8","","","","1"
"2017","Canada","2016A000011124","Food services and drinking places [722]","E-commerce as a percentage of total sales","Percent","239","units","0","v120586588","1.1.3","3.0","","","","1"
"2017","Canada","2016A000011124","Full-service restaurants [722511]","Total sales","Dollars","81","millions","6","v1073543749","1.2.1","29179.6","","","","1"
"2017","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce sales","Dollars","81","millions","6","v1073543751","1.2.2","799.9","","","","1"
"2017","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543753","1.2.3","2.7","","","","1"
"2017","Canada","2016A000011124","Limited-service eating places [722512]","Total sales","Dollars","81","millions","6","v1073543750","1.3.1","28175.5","","","","1"
"2017","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce sales","Dollars","81","millions","6","v1073543752","1.3.2","982.1","","","","1"
"2017","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543754","1.3.3","3.5","","","","1"
"2018","Canada","2016A000011124","Food services and drinking places [722]","Total sales","Dollars","81","millions","6","v120586586","1.1.1","68817.8","","","","1"
"2018","Canada","2016A000011124","Food services and drinking places [722]","E-commerce sales","Dollars","81","millions","6","v120586587","1.1.2","2515.5","","","","1"
"2018","Canada","2016A000011124","Food services and drinking places [722]","E-commerce as a percentage of total sales","Percent","239","units","0","v120586588","1.1.3","3.7","","","","1"
"2018","Canada","2016A000011124","Full-service restaurants [722511]","Total sales","Dollars","81","millions","6","v1073543749","1.2.1","30995.1","","","","1"
"2018","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce sales","Dollars","81","millions","6","v1073543751","1.2.2","1063.6","","","","1"
"2018","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543753","1.2.3","3.4","","","","1"
"2018","Canada","2016A000011124","Limited-service eating places [722512]","Total sales","Dollars","81","millions","6","v1073543750","1.3.1","29558.2","","","","1"
"2018","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce sales","Dollars","81","millions","6","v1073543752","1.3.2","1257.3","","","","1"
"2018","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543754","1.3.3","4.3","","","","1"
"2019","Canada","2016A000011124","Food services and drinking places [722]","Total sales","Dollars","81","millions","6","v120586586","1.1.1","71188.4","","","","1"
"2019","Canada","2016A000011124","Food services and drinking places [722]","E-commerce sales","Dollars","81","millions","6","v120586587","1.1.2","3313.6","","","","1"
"2019","Canada","2016A000011124","Food services and drinking places [722]","E-commerce as a percentage of total sales","Percent","239","units","0","v120586588","1.1.3","4.7","","","","1"
"2019","Canada","2016A000011124","Full-service restaurants [722511]","Total sales","Dollars","81","millions","6","v1073543749","1.2.1","32198.0","","","","1"
"2019","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce sales","Dollars","81","millions","6","v1073543751","1.2.2","1190.3","","","","1"
"2019","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543753","1.2.3","3.7","","","","1"
"2019","Canada","2016A000011124","Limited-service eating places [722512]","Total sales","Dollars","81","millions","6","v1073543750","1.3.1","30502.9","","","","1"
"2019","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce sales","Dollars","81","millions","6","v1073543752","1.3.2","1989.8","","","","1"
"2019","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543754","1.3.3","6.5","","","","1"
"2020","Canada","2016A000011124","Food services and drinking places [722]","Total sales","Dollars","81","millions","6","v120586586","1.1.1","47082.2","","","","1"
"2020","Canada","2016A000011124","Food services and drinking places [722]","E-commerce sales","Dollars","81","millions","6","v120586587","1.1.2","7525.5","","","","1"
"2020","Canada","2016A000011124","Food services and drinking places [722]","E-commerce as a percentage of total sales","Percent","239","units","0","v120586588","1.1.3","16.0","","","","1"
"2020","Canada","2016A000011124","Full-service restaurants [722511]","Total sales","Dollars","81","millions","6","v1073543749","1.2.1","18774.5","","","","1"
"2020","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce sales","Dollars","81","millions","6","v1073543751","1.2.2","3911.9","","","","1"
"2020","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543753","1.2.3","20.8","","","","1"
"2020","Canada","2016A000011124","Limited-service eating places [722512]","Total sales","Dollars","81","millions","6","v1073543750","1.3.1","24802.8","","","","1"
"2020","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce sales","Dollars","81","millions","6","v1073543752","1.3.2","3422.7","","","","1"
"2020","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543754","1.3.3","13.8","","","","1"
"2021","Canada","2016A000011124","Food services and drinking places [722]","Total sales","Dollars","81","millions","6","v120586586","1.1.1","56136.3","","","","1"
"2021","Canada","2016A000011124","Food services and drinking places [722]","E-commerce sales","Dollars","81","millions","6","v120586587","1.1.2","6846.5","","","","1"
"2021","Canada","2016A000011124","Food services and drinking places [722]","E-commerce as a percentage of total sales","Percent","239","units","0","v120586588","1.1.3","12.2","","","","1"
"2021","Canada","2016A000011124","Full-service restaurants [722511]","Total sales","Dollars","81","millions","6","v1073543749","1.2.1","22574.4","","","","1"
"2021","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce sales","Dollars","81","millions","6","v1073543751","1.2.2","3402.5","","","","1"
"2021","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543753","1.2.3","15.1","","","","1"
"2021","Canada","2016A000011124","Limited-service eating places [722512]","Total sales","Dollars","81","millions","6","v1073543750","1.3.1","29382.5","","","","1"
"2021","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce sales","Dollars","81","millions","6","v1073543752","1.3.2","3256.5","","","","1"
"2021","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543754","1.3.3","11.1","","","","1"
"2022","Canada","2016A000011124","Food services and drinking places [722]","Total sales","Dollars","81","millions","6","v120586586","1.1.1","73493.4","","","","1"
"2022","Canada","2016A000011124","Food services and drinking places [722]","E-commerce sales","Dollars","81","millions","6","v120586587","1.1.2","7198.1","","","","1"
"2022","Canada","2016A000011124","Food services and drinking places [722]","E-commerce as a percentage of total sales","Percent","239","units","0","v120586588","1.1.3","9.8","","","","1"
"2022","Canada","2016A000011124","Full-service restaurants [722511]","Total sales","Dollars","81","millions","6","v1073543749","1.2.1","32861.4","","","","1"
"2022","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce sales","Dollars","81","millions","6","v1073543751","1.2.2","3514.5","","","","1"
"2022","Canada","2016A000011124","Full-service restaurants [722511]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543753","1.2.3","10.7","","","","1"
"2022","Canada","2016A000011124","Limited-service eating places [722512]","Total sales","Dollars","81","millions","6","v1073543750","1.3.1","33465.0","","","","1"
"2022","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce sales","Dollars","81","millions","6","v1073543752","1.3.2","3437.0","","","","1"
"2022","Canada","2016A000011124","Limited-service eating places [722512]","E-commerce as a percentage of total sales","Percent","239","units","0","v1073543754","1.3.3","10.3","","","","1"
